антиглобалист;antyglobalista
выгода;korzyść
выгодный;korzystny/opłacalny
глобализация;globalizacja
импорт;import
импортировать;importować
интеграция;integracja
камень преткновения; (frazeologizm) nierozwiazywalny problem
компьютерные технологии; komputerowe technologie
конкуренция;konkurencja
крах;krach/załamanie
однородность;jednorodność
протекционизм;protekcjonizm
проявление;przejaw
разнородность;różnorodność
регионализация;regionalizacja
реструктуризировать;restrukturyzować
ресурс;zasób
рынок;rynek
символ;symbol
сопротивляться;stawiać opór
спад;recesja,spadek
стадия;stadium
стандарты;standardy
страдать;cierpieć
технология;technologia
транснациональные корпорация; miedzynarodowe korporacje
опасность;niebezpieczenstwo
унификация;unifikacja, ujednolicenie
финансы;finanse
формирование;kształtowanie
экспорт;eksport
экспортировать;eksportować
